objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Abbatija_Catac_1.jpg,,,Abbatija Catacombs,DAT,2024-6-15,Stone arches and cavities in a dimly lit space,archaeology; burial; tomb; catacomb; Roman; Malta; Ancient history,"Rabat, Malta",46.725562,-117.009633,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll002,Abbatija_Catac_2.jpg,,,Abbatija Catacombs,DAT,2024-6-15,stone arches and cavities in a dimly lit space,archaeology; burial; tomb; catacomb; Roman; Malta; Ancient history,"Rabat, Malta",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll003,AgiaThekla_Hypogeum_1.jpg,,,Agia Thekla saint's shrine,DAT,2026/7/26,A squarish opening in rock topped by a white cross,archaeology; burial; tomb; catacomb; Roman; Cyprus; Ancient history; religion; saint; christianity,"Agia Napa, Cyprus",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll004,Agrigento_Ipogei_N-R_1.jpg,,,Hypogea at Agrigento,DAT,2025/7/23,Cavities carved into stone protruding from sloping terain with trees in the background,archaeology; burial; tomb; Roman; Sicily; Ancient history,"Agrigento, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll005,Agrigento_ValledeiTempliNecr_1.jpg,,,Arcosolia in the Valle dei Templi in Agrigento,DAT,2025/7/23,Arch-shaped cavities carved into a rock face,archaeology; burial; tomb; Roman; Sicily; Ancient history,"Agrigento, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll006,Agrigento_ValledeiTempliNecr_2.jpg,,,Arcosolia in the Valle dei Templi in Agrigento,DAT,2025/7/23,Arch shaped cavities carved at the top of a rock face,archaeology; burial; tomb; Roman; Sicily; Ancient history,"Agrigento, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll007,Antalya_Necr_1.jpg,,,Dromoi entrances into hypogea in the Antalya necropolis,DAT,2025/12/1,parallel staircases descending into a rocky surface,archaeology; burial; tomb; Roman; Turkey; Ancient history,"Antalya, Turkey",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll008,Antalya_Necr_2.jpg,,,Hypogeal tombs and fossae graves in the Antalya Necropolis,DAT,2025/12/1,Cavities carved into a stony surface,archaeology; burial; tomb; Roman; Turkey; Ancient history,"Antalya, Turkey",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll009,Antalya_Necr_3.jpg,,,Sarcophagi lids and fossae graves in the Antalya Necrpolis,DAT,2025/12/1,slabs propped on supports on top of a stony surface,archaeology; burial; tomb; Roman; Turkey; Ancient history,"Antalya, Turkey",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll010,Blaundos_NENecr_1.jpg,,,Chamber tomb entrances in the cliff face in the northeast sector of the Blaundos Necrpolis,DAT,2025/11/23,a sloping hillside with small cavities visible in the ridgeline,archaeology; burial; tomb; Roman; Turkey; Ancient history; landscape,"Uşak, Türkiye",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll011,Blaundos_SNecr_1.jpg,,,Chamber tomb entrances in the cliff face in the south sector of the Blaundos Necrpolis,DAT,2025/11/23,small cavities carved into a rock face of a hill with trees,archaeology; burial; tomb; Roman; Turkey; Ancient history; landscape,"Uşak, Türkiye",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll012,Blaundos_SNecr_2.jpg,,,Chamber tomb entrances in the cliff face in the south sector of the Blaundos Necrpolis,DAT,2025/11/23,small cavities carved into a rock face of a hill with trees,archaeology; burial; tomb; Roman; Turkey; Ancient history; landscape,"Uşak, Türkiye",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll013,Blaundos_WNecr_1.jpg,,,Chamber tomb entrances in the cliff face in the west sector of the Blaundos Necrpolis,DAT,2025/11/23,A landscape with trees dotting a rocky sloping hillside,archaeology; burial; tomb; Roman; Turkey; Ancient history; landscape,"Uşak, Türkiye",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll014,Carmona_Necr_1.jpg,,,Hypogeal tombs in the Carmona Necropolis,DAT,2025/3/15,Cavities carved into a rocky surface,archaeology; burial; tomb; Roman; Spain; Ancient history,"Carmona, Spain",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll015,Carmona_Necr_2.jpg,,,Hypogeal tombs in the Carmona Necropolis,DAT,2025/3/15,Cavities carved into a rocky surface,archaeology; burial; tomb; Roman; Spain; Ancient history,"Carmona, Spain",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll016,CavaCilone_1.jpg,,,"Fossa graves in the floor of the Cava Celone ""catacomb""",DAT,2025/7/24,Cavities carved into the floor of a cave,archaeology; burial; tomb; catacomb; Roman; Sicily; Ancient history; religion; christianity; cave,"Ragusa, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll017,CavaCilone_2.jpg,,,"Fossa graves and lateral loculi in the floors and walls of the Cava Celone ""catacomb""",DAT,2025/7/24,Cavities carved into the floor and walls of a cave,archaeology; burial; tomb; catacomb; Roman; Sicily; Ancient history; religion; christianity; cave,"Ragusa, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll018,Cuevano5_NecroplisdelasCuevas.jpg,,,Remains of a chamber tomb at the Las Cuevas Necropolis,DAT,2025/3/15,A cavity in a rock face with cavities in its floor and thick vegetation in the foreground,archaeology; burial; tomb; Roman; Spain; Ancient history,"Osuna, Spain",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll019,GrottadelleTrabacche_1.jpg,,,A Baldacchino style burial space and notches for sarcophagi in the Grotta delle Trabacche,DAT,2025/7/24,A cave with carved features,archaeology; burial; tomb; catacomb; Roman; Sicily; Ancient history; religion; christianity; cave,"Ragusa, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
coll020,GrotadelleTrabacche_2.jpg,,,"The entrance of the Grotta delle Trabacche ""catacomb"" ",DAT,2025/7/24,A cave with carved features,archaeology; burial; tomb; catacomb; Roman; Sicily; Ancient history; religion; christianity; cave,"Ragusa, Sicily, Italy",,,Self,,Image;StillImage,image/jpeg,eng,Copyright Dustin Thomas,
